,Timestamp,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments,cleaned_employees,Gender_clean
0,2014-08-27 11:29:31,37,Female,United States,IL,No,No,Yes,Often,6-25,No,Yes,Yes,unknown,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,No,unknown,15.0,Female
1,2014-08-27 11:29:37,44,M,United States,IN,No,No,No,Rarely,More than 1000,No,No,unknown,No,unknown,unknown,unknown,unknown,unceratin,No,No,No,No,No,unknown,No,unknown,1001.0,Male
2,2014-08-27 11:29:44,32,Male,Canada,unknown,No,No,No,Rarely,6-25,No,Yes,No,No,No,No,unknown,Somewhat difficult,No,No,Yes,Yes,Yes,Yes,No,No,unknown,15.0,Male
3,2014-08-27 11:29:46,31,Male,United Kingdom,unknown,No,Yes,Yes,Often,26-100,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,Yes,Some of them,No,Maybe,Maybe,No,Yes,unknown,63.0,Male
4,2014-08-27 11:30:22,31,Male,United States,TX,No,No,No,Never,100-500,Yes,Yes,Yes,No,unknown,unknown,unknown,unknown,No,No,Some of them,Yes,Yes,Yes,unknown,No,unknown,300.0,Male
5,2014-08-27 11:31:22,33,Male,United States,TN,No,Yes,No,Sometimes,6-25,No,Yes,Yes,unknown,No,unknown,unknown,unknown,No,No,Yes,Yes,No,Maybe,unknown,No,unknown,15.0,Male
6,2014-08-27 11:31:50,35,Female,United States,MI,No,Yes,Yes,Sometimes,1-5,Yes,Yes,No,No,No,No,No,Somewhat difficult,unceratin,unceratin,Some of them,No,No,No,unknown,No,unknown,3.0,Female
7,2014-08-27 11:32:05,39,M,Canada,unknown,No,No,No,Never,1-5,Yes,Yes,No,Yes,No,No,Yes,unknown,No,No,No,No,No,No,No,No,unknown,3.0,Male
8,2014-08-27 11:32:39,42,Female,United States,IL,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Very difficult,unceratin,No,Yes,Yes,No,Maybe,No,No,unknown,300.0,Female
9,2014-08-27 11:32:43,23,Male,Canada,unknown,No,No,No,Never,26-100,No,Yes,unknown,No,unknown,unknown,unknown,unknown,No,No,Yes,Yes,Maybe,Maybe,Yes,No,unknown,63.0,Male
